codigo_uf_ibge,sigla_uf,ano,ideb,fluxo,aprendizado,nota_mt,nota_lp
11,RO,2017,4.0,0.8735,4.5271,272.03,268.33
12,AC,2017,3.8,0.877,4.3461,263.28,264.45
13,AM,2017,3.5,0.8745,4.0231,250.93,254.46
14,RR,2017,3.5,0.8457,4.1174,256.73,255.32
15,PA,2017,3.1,0.8035,3.828,246.29,245.78
16,AP,2017,3.2,0.8086,3.9835,249.11,253.52
17,TO,2017,3.8,0.8752,4.3333,265.77,261.26
21,MA,2017,3.5,0.8789,4.0278,251.68,254.07
22,PI,2017,3.6,0.8564,4.2467,263.14,257.94
23,CE,2017,4.1,0.9146,4.4309,267.37,266.28
24,RN,2017,3.2,0.7935,4.0701,255.01,253.77
25,PB,2017,3.5,0.8152,4.2387,261.27,259.16
26,PE,2017,4.1,0.9087,4.5335,271.39,269.36
27,AL,2017,3.5,0.8546,4.1534,257.93,256.6
28,SE,2017,3.7,0.8199,4.4688,269.93,266.41
29,BA,2017,3.0,0.7601,3.9552,251.31,249.57
31,MG,2017,3.9,0.8091,4.7725,281.48,275.86
32,ES,2017,4.4,0.8703,5.0329,291.64,283.72
33,RJ,2017,3.9,0.8311,4.6902,277.09,274.48
35,SP,2017,4.2,0.9022,4.6421,274.12,274.05
41,PR,2017,4.0,0.8424,4.729,279.49,274.82
42,SC,2017,4.1,0.8577,4.794,283.69,275.22
43,RS,2017,3.7,0.7631,4.8502,283.41,279.24
50,MS,2017,3.8,0.8199,4.6673,276.4,273.6
51,MT,2017,3.5,0.7919,4.3646,265.93,263.2
52,GO,2017,4.3,0.8996,4.7424,278.91,276.26
53,DF,2017,4.1,0.8335,4.8804,286.41,278.44
11,RO,2019,4.3,0.8947,4.7708,278.81,278.25
12,AC,2019,3.9,0.8622,4.5578,270.18,272.12
13,AM,2019,3.6,0.8684,4.0962,251.7,258.62
14,RR,2019,3.9,0.8782,4.4328,265.66,268.01
15,PA,2019,3.4,0.8212,4.1551,254.49,259.94
16,AP,2019,3.4,0.823,4.1707,254.3,261.16
17,TO,2019,4.0,0.8977,4.4629,269.19,266.71
21,MA,2019,3.8,0.915,4.1377,253.47,259.73
22,PI,2019,4.0,0.8793,4.5994,273.09,272.17
23,CE,2019,4.4,0.9453,4.649,272.82,275.73
24,RN,2019,3.5,0.8127,4.351,262.55,265.46
25,PB,2019,4.0,0.8642,4.6828,274.75,276.18
26,PE,2019,4.5,0.926,4.8665,281.15,282.45
27,AL,2019,3.9,0.8747,4.4062,263.83,267.95
28,SE,2019,3.7,0.816,4.5882,271.86,272.57
29,BA,2019,3.5,0.8021,4.311,261.36,263.91
31,MG,2019,4.2,0.8505,4.9835,287.54,284.27
32,ES,2019,4.8,0.9069,5.2701,298.49,293.14
33,RJ,2019,4.1,0.8411,4.8361,280.56,280.97
35,SP,2019,4.6,0.9356,4.9668,283.93,286.54
41,PR,2019,4.7,0.9074,5.1629,293.3,290.85
42,SC,2019,4.2,0.829,5.0127,289.56,284.32
43,RS,2019,4.2,0.8249,5.1187,291.41,289.67
50,MS,2019,4.2,0.8568,4.9602,285.41,284.71
51,MT,2019,3.6,0.7915,4.5681,271.33,271.73
52,GO,2019,4.8,0.9325,5.1432,291.79,290.95
53,DF,2019,4.5,0.8653,5.2341,296.45,292.65
11,RO,2021,4.1,0.8986,4.5287,267.67,272.53
12,AC,2021,4.0,0.8675,4.6031,269.13,276.13
13,AM,2021,3.7,0.9165,4.03,248.03,257.64
14,RR,2021,4.0,0.8991,4.3988,263.0,268.23
15,PA,2021,3.2,0.769,4.1016,250.81,259.82
16,AP,2021,3.3,0.7736,4.2784,256.16,266.61
17,TO,2021,4.2,0.9531,4.4358,265.96,267.93
21,MA,2021,3.6,0.9032,4.0066,247.27,256.79
22,PI,2021,4.2,0.9378,4.4881,267.87,269.63
23,CE,2021,4.3,0.9466,4.5863,269.21,274.93
24,RN,2021,3.4,0.7835,4.2986,258.76,265.52
25,PB,2021,4.1,0.9451,4.3761,261.96,267.69
26,PE,2021,4.4,0.9256,4.7794,276.33,281.15
27,AL,2021,3.6,0.8609,4.203,255.37,262.31
28,SE,2021,4.1,0.9448,4.3403,261.78,265.47
29,BA,2021,3.6,0.8852,4.0965,251.55,258.78
31,MG,2021,4.2,0.8827,4.7707,276.99,279.95
32,ES,2021,4.5,0.9176,4.902,283.57,282.55
33,RJ,2021,4.0,0.8863,4.5224,267.52,272.25
35,SP,2021,4.7,0.949,4.9227,280.81,286.52
41,PR,2021,4.9,0.9617,5.0448,287.48,288.42
42,SC,2021,3.9,0.7792,4.9949,286.73,285.79
43,RS,2021,4.3,0.8707,4.9112,281.26,285.33
50,MS,2021,3.8,0.82,4.6635,273.91,275.68
51,MT,2021,3.7,0.8494,4.4143,263.7,268.61
52,GO,2021,4.5,0.936,4.7849,277.13,280.77
53,DF,2021,4.5,0.8822,5.0859,289.21,289.54
